TICKER,HOLDERS,TOP HOLDER,Total Held,FREE FLOAT
YPAS,3,PT HASTAGRAHA BUMIPERSADA,97.5%,10.53% ⚠️
FISH,5,PT.FKS CORPORINDO INDONESIA,99.1%,10.54% ⚠️
CASS,7,ROKET CIPTA SENTOSA PT,94.3%,10.66% ⚠️
AMMN,9,PT SUMBER GEMILANG PERSADA,90.3%,10.77% ⚠️
NICK,9,PT. INDOVEST CENTRAL,98.5%,10.82% ⚠️
BBLD,9,PT. SARI DASA KARSA,96.1%,10.90% ⚠️
SRTG,3,EDWIN SOERYADJAYA,89.0%,10.99% ⚠️
LPCK,1,"KEMUNING SATIATAMA, PT.",89.0%,11.00% ⚠️
RSCH,6,PT. WAHYU AGUNG,92.4%,11.00% ⚠️
PSAT,6,PROFITAMA HASIL INDAH,91.3%,11.05% ⚠️
PBSA,5,PT ASCEND BANGUN PERSADA,90.6%,11.08% ⚠️
SAME,2,PT ELANG MAHKOTA TEKNOLOGI TBK,88.9%,11.10% ⚠️
APLN,3,"INDOFICA, PT",88.8%,11.16% ⚠️
AXIO,8,PT EXA NUSA PERSADA,92.8%,11.27% ⚠️
HATM,6,PT HABCO PRIMATAMA,93.6%,11.29% ⚠️
CAKK,3,KOBIN KERAMIK INDUSTRI PT,91.9%,11.36% ⚠️
CBDK,2,PANTAI INDAH KAPUK DUA TBK PT,88.6%,11.36% ⚠️
DSSA,6,PT SINAR MAS TUNGGAL,92.4%,11.37% ⚠️
VICO,9,PT Gratamulia Pratama,90.9%,11.39% ⚠️
SCMA,2,PT ELANG MAHKOTA TEKNOLOGI TBK,88.6%,11.43% ⚠️
PTMR,8,MITRA PACK TBK,93.5%,11.54% ⚠️
APLI,5,PT MACO AMANGRAHA,94.5%,11.57% ⚠️
NISP,3,OCBC OVERSEAS INVESTMENTS PTE. LTD,88.4%,11.59% ⚠️
CLEO,6,PT. TANCORP GLOBAL ABADI,88.4%,11.62% ⚠️
FORU,3,IMR ASIA HOLDING PTE LTD,90.7%,11.64% ⚠️
KDSI,5,"KITASUBUR UTAMA, PT",93.9%,11.70% ⚠️
